time,water_level
2014-07-14 00:00,1.05
2014-07-14 00:06,1.07
2014-07-14 00:12,1.09
2014-07-14 00:18,1.11
2014-07-14 00:24,1.12
2014-07-14 00:30,1.14
2014-07-14 00:36,1.16
2014-07-14 00:42,1.18
2014-07-14 00:48,1.19
2014-07-14 00:54,1.21
2014-07-14 01:00,1.22
2014-07-14 01:06,1.24
2014-07-14 01:12,1.25
2014-07-14 01:18,1.26
2014-07-14 01:24,1.28
2014-07-14 01:30,1.29
2014-07-14 01:36,1.30
2014-07-14 01:42,1.31
2014-07-14 01:48,1.32
2014-07-14 01:54,1.33
2014-07-14 02:00,1.34
2014-07-14 02:06,1.35
2014-07-14 02:12,1.36
2014-07-14 02:18,1.36
2014-07-14 02:24,1.37
2014-07-14 02:30,1.37
2014-07-14 02:36,1.38
2014-07-14 02:42,1.38
2014-07-14 02:48,1.38
2014-07-14 02:54,1.38
2014-07-14 03:00,1.38
2014-07-14 03:06,1.38
2014-07-14 03:12,1.38
2014-07-14 03:18,1.37
2014-07-14 03:24,1.37
2014-07-14 03:30,1.37
2014-07-14 03:36,1.36
2014-07-14 03:42,1.35
2014-07-14 03:48,1.34
2014-07-14 03:54,1.33
2014-07-14 04:00,1.32
2014-07-14 04:06,1.31
2014-07-14 04:12,1.30
2014-07-14 04:18,1.29
2014-07-14 04:24,1.27
2014-07-14 04:30,1.26
2014-07-14 04:36,1.24
2014-07-14 04:42,1.22
2014-07-14 04:48,1.21
2014-07-14 04:54,1.19
2014-07-14 05:00,1.17
2014-07-14 05:06,1.15
2014-07-14 05:12,1.12
2014-07-14 05:18,1.10
2014-07-14 05:24,1.08
2014-07-14 05:30,1.05
2014-07-14 05:36,1.03
2014-07-14 05:42,1.00
2014-07-14 05:48,0.98
2014-07-14 05:54,0.95
2014-07-14 06:00,0.93
2014-07-14 06:06,0.90
2014-07-14 06:12,0.87
2014-07-14 06:18,0.84
2014-07-14 06:24,0.81
2014-07-14 06:30,0.79
2014-07-14 06:36,0.76
2014-07-14 06:42,0.73
2014-07-14 06:48,0.70
2014-07-14 06:54,0.67
2014-07-14 07:00,0.64
2014-07-14 07:06,0.61
2014-07-14 07:12,0.58
2014-07-14 07:18,0.55
2014-07-14 07:24,0.52
2014-07-14 07:30,0.49
2014-07-14 07:36,0.47
2014-07-14 07:42,0.44
2014-07-14 07:48,0.41
2014-07-14 07:54,0.38
2014-07-14 08:00,0.36
2014-07-14 08:06,0.33
2014-07-14 08:12,0.30
2014-07-14 08:18,0.28
2014-07-14 08:24,0.26
2014-07-14 08:30,0.23
2014-07-14 08:36,0.21
2014-07-14 08:42,0.19
2014-07-14 08:48,0.17
2014-07-14 08:54,0.14
2014-07-14 09:00,0.12
2014-07-14 09:06,0.11
2014-07-14 09:12,0.09
2014-07-14 09:18,0.07
2014-07-14 09:24,0.05
2014-07-14 09:30,0.04
2014-07-14 09:36,0.02
2014-07-14 09:42,0.01
2014-07-14 09:48,-0.00
2014-07-14 09:54,-0.01
2014-07-14 10:00,-0.02
2014-07-14 10:06,-0.03
2014-07-14 10:12,-0.04
2014-07-14 10:18,-0.05
2014-07-14 10:24,-0.06
2014-07-14 10:30,-0.06
2014-07-14 10:36,-0.07
2014-07-14 10:42,-0.07
2014-07-14 10:48,-0.08
2014-07-14 10:54,-0.08
2014-07-14 11:00,-0.08
2014-07-14 11:06,-0.08
2014-07-14 11:12,-0.08
2014-07-14 11:18,-0.08
2014-07-14 11:24,-0.08
2014-07-14 11:30,-0.08
2014-07-14 11:36,-0.07
2014-07-14 11:42,-0.07
2014-07-14 11:48,-0.07
2014-07-14 11:54,-0.06
2014-07-14 12:00,-0.06
2014-07-14 12:06,-0.05
2014-07-14 12:12,-0.04
2014-07-14 12:18,-0.04
2014-07-14 12:24,-0.03
2014-07-14 12:30,-0.02
2014-07-14 12:36,-0.01
2014-07-14 12:42,-0.00
2014-07-14 12:48,0.01
2014-07-14 12:54,0.02
2014-07-14 13:00,0.03
2014-07-14 13:06,0.04
2014-07-14 13:12,0.05
2014-07-14 13:18,0.06
2014-07-14 13:24,0.07
2014-07-14 13:30,0.08
2014-07-14 13:36,0.09
2014-07-14 13:42,0.11
2014-07-14 13:48,0.12
2014-07-14 13:54,0.13
2014-07-14 14:00,0.14
2014-07-14 14:06,0.15
2014-07-14 14:12,0.17
2014-07-14 14:18,0.18
2014-07-14 14:24,0.19
2014-07-14 14:30,0.20
2014-07-14 14:36,0.21
2014-07-14 14:42,0.22
2014-07-14 14:48,0.24
2014-07-14 14:54,0.25
2014-07-14 15:00,0.26
2014-07-14 15:06,0.27
2014-07-14 15:12,0.28
2014-07-14 15:18,0.29
2014-07-14 15:24,0.30
2014-07-14 15:30,0.31
2014-07-14 15:36,0.32
2014-07-14 15:42,0.33
2014-07-14 15:48,0.34
2014-07-14 15:54,0.35
2014-07-14 16:00,0.36
2014-07-14 16:06,0.36
2014-07-14 16:12,0.37
2014-07-14 16:18,0.38
2014-07-14 16:24,0.39
2014-07-14 16:30,0.39
2014-07-14 16:36,0.40
2014-07-14 16:42,0.40
2014-07-14 16:48,0.41
2014-07-14 16:54,0.41
2014-07-14 17:00,0.42
2014-07-14 17:06,0.42
2014-07-14 17:12,0.42
2014-07-14 17:18,0.43
2014-07-14 17:24,0.43
2014-07-14 17:30,0.43
2014-07-14 17:36,0.43
2014-07-14 17:42,0.43
2014-07-14 17:48,0.43
2014-07-14 17:54,0.44
2014-07-14 18:00,0.44
2014-07-14 18:06,0.44
2014-07-14 18:12,0.44
2014-07-14 18:18,0.43
2014-07-14 18:24,0.43
2014-07-14 18:30,0.43
2014-07-14 18:36,0.43
2014-07-14 18:42,0.43
2014-07-14 18:48,0.43
2014-07-14 18:54,0.43
2014-07-14 19:00,0.43
2014-07-14 19:06,0.43
2014-07-14 19:12,0.43
2014-07-14 19:18,0.43
2014-07-14 19:24,0.42
2014-07-14 19:30,0.42
2014-07-14 19:36,0.42
2014-07-14 19:42,0.42
2014-07-14 19:48,0.42
2014-07-14 19:54,0.42
2014-07-14 20:00,0.42
2014-07-14 20:06,0.43
2014-07-14 20:12,0.43
2014-07-14 20:18,0.43
2014-07-14 20:24,0.43
2014-07-14 20:30,0.43
2014-07-14 20:36,0.44
2014-07-14 20:42,0.44
2014-07-14 20:48,0.44
2014-07-14 20:54,0.45
2014-07-14 21:00,0.45
2014-07-14 21:06,0.46
2014-07-14 21:12,0.47
2014-07-14 21:18,0.47
2014-07-14 21:24,0.48
2014-07-14 21:30,0.49
2014-07-14 21:36,0.50
2014-07-14 21:42,0.51
2014-07-14 21:48,0.52
2014-07-14 21:54,0.53
2014-07-14 22:00,0.54
2014-07-14 22:06,0.55
2014-07-14 22:12,0.56
2014-07-14 22:18,0.57
2014-07-14 22:24,0.59
2014-07-14 22:30,0.60
2014-07-14 22:36,0.62
2014-07-14 22:42,0.63
2014-07-14 22:48,0.65
2014-07-14 22:54,0.66
2014-07-14 23:00,0.68
2014-07-14 23:06,0.69
2014-07-14 23:12,0.71
2014-07-14 23:18,0.73
2014-07-14 23:24,0.74
2014-07-14 23:30,0.76
2014-07-14 23:36,0.78
2014-07-14 23:42,0.80
2014-07-14 23:48,0.82
2014-07-14 23:54,0.83
2014-07-15 00:00,0.85
2014-07-15 00:06,0.87
2014-07-15 00:12,0.89
2014-07-15 00:18,0.91
2014-07-15 00:24,0.93
2014-07-15 00:30,0.95
2014-07-15 00:36,0.96
2014-07-15 00:42,0.98
2014-07-15 00:48,1.00
2014-07-15 00:54,1.02
2014-07-15 01:00,1.04
2014-07-15 01:06,1.05
2014-07-15 01:12,1.07
2014-07-15 01:18,1.09
2014-07-15 01:24,1.10
2014-07-15 01:30,1.12
2014-07-15 01:36,1.14
2014-07-15 01:42,1.15
2014-07-15 01:48,1.17
2014-07-15 01:54,1.18
2014-07-15 02:00,1.19
2014-07-15 02:06,1.21
2014-07-15 02:12,1.22
2014-07-15 02:18,1.23
2014-07-15 02:24,1.24
2014-07-15 02:30,1.25
2014-07-15 02:36,1.26
2014-07-15 02:42,1.27
2014-07-15 02:48,1.28
2014-07-15 02:54,1.29
2014-07-15 03:00,1.29
2014-07-15 03:06,1.30
2014-07-15 03:12,1.30
2014-07-15 03:18,1.31
2014-07-15 03:24,1.31
2014-07-15 03:30,1.31
2014-07-15 03:36,1.32
2014-07-15 03:42,1.32
2014-07-15 03:48,1.32
2014-07-15 03:54,1.32
2014-07-15 04:00,1.31
2014-07-15 04:06,1.31
2014-07-15 04:12,1.31
2014-07-15 04:18,1.30
2014-07-15 04:24,1.29
2014-07-15 04:30,1.29
2014-07-15 04:36,1.28
2014-07-15 04:42,1.27
2014-07-15 04:48,1.26
2014-07-15 04:54,1.25
2014-07-15 05:00,1.24
2014-07-15 05:06,1.23
2014-07-15 05:12,1.21
2014-07-15 05:18,1.20
2014-07-15 05:24,1.18
2014-07-15 05:30,1.17
2014-07-15 05:36,1.15
2014-07-15 05:42,1.13
2014-07-15 05:48,1.11
2014-07-15 05:54,1.09
2014-07-15 06:00,1.07
2014-07-15 06:06,1.05
2014-07-15 06:12,1.03
2014-07-15 06:18,1.01
2014-07-15 06:24,0.98
2014-07-15 06:30,0.96
2014-07-15 06:36,0.93
2014-07-15 06:42,0.91
2014-07-15 06:48,0.88
2014-07-15 06:54,0.86
2014-07-15 07:00,0.83
2014-07-15 07:06,0.81
2014-07-15 07:12,0.78
2014-07-15 07:18,0.75
2014-07-15 07:24,0.73
2014-07-15 07:30,0.70
2014-07-15 07:36,0.67
2014-07-15 07:42,0.64
